X,Time1-30m-5aA-s2,Time1-30m-1aA-s2,Time1-30m-3aA-s2,Time1-30m-4aA-s2,Time1-30m-2aA-s2,Time2-4h-2bA-s2,Time2-4h-3bA-s2,Time2-4h-1bA-s2,Time3-8h-1aA-s2,Time3-8h-2aA-s2,Time3-8h-3aA-s2,Time4-24hf-2aA-s2,Time4-24hf-3aA-s2,Time4-24hf-1aA-s2,Time5-72h-3aA-s2,Time5-72h-1aA-s2,Time5-72h-2aA-s2,Time6-21d-1bA-s2,Time6-21d-2aA-s2,Time6-21d-3aA-s2
J02780_at,7.978627347,7.898484357,8.017288882,8.06639273627242,8.031603819,10.2835609259614,8.235082921,10.244403210857,9.25053575520857,8.66983386307756,9.0627996842854,8.676455012,8.41107481,8.61621604684054,8.91865976384769,8.724941619,9.074087533,7.903149825,8.12875545814619,8.398115408
J03627_at,8.598875204,8.543995318,8.121122664,7.66279110284567,8.359410116,11.0326611345636,8.243698868,10.3490587830855,10.6894278216297,10.0915311107683,10.1364446614049,8.902816683,9.507019224,9.24097609783839,10.6087752799578,10.80011215,9.087872186,7.687582554,10.0401787078398,7.9134089
J03886_at,8.927486609,9.027585281,9.370237131,9.06511213194536,9.545832565,7.54289068372366,9.056401743,7.56148257604039,8.25618854851789,8.8761378052398,8.83286607449418,9.952435874,9.557537549,10.0080394452458,9.44406589463268,8.843983205,9.815592743,9.549019299,7.79196512467519,9.269662356
J04807mRNA_i_at,7.591937356,9.182545379,8.792516598,7.58999575389982,9.950140793,7.54581843592624,8.817018041,7.71153995816678,7.55877664716608,7.64537922673747,7.78034424725062,9.439209167,9.435698139,8.98762281765829,9.76103754833998,9.408682597,9.756387744,10.01710867,10.9749394662274,8.928122614
J05122_at,7.657650842,8.266693339,8.306213156,7.6748956707071,8.290064189,10.6291116187783,8.428205265,9.2821853091355,10.8328416460979,9.80533462639554,10.4921236336702,8.843772003,9.201828755,9.50851020182244,10.9412541176175,10.87912937,9.681629228,8.264178651,8.78791672306007,8.664673657
J05132_s_at,8.827884503,8.433047643,8.671040262,8.43461853752437,8.376298647,7.55042549467609,7.971955028,7.57365095749697,8.78070869716499,8.40587747822662,8.42156233483216,8.353254211,9.132658381,8.65089524333782,10.1482815117166,9.998868429,9.294021656,8.730769703,8.73224076779083,8.46887205
K03250_at,7.76483934,11.54612313,10.39306162,7.43005520744872,11.41365981,11.7071969677997,11.13328638,11.6768339764584,7.44057692933435,7.55870032137811,7.6980346562621,9.620945483,9.855811893,9.08374533224987,11.3523764396755,12.05873858,10.07751797,11.47663079,7.57758953814341,11.81768656
L01793_g_at,7.654946361,7.951156611,7.712489609,7.79321674943859,7.882135147,7.86076058737566,7.682585833,7.73193907659481,7.66631387779922,7.64387099513835,7.70637807344064,7.66636324,7.654873608,7.66356318949665,7.91117390573682,7.98999922,7.819637627,8.46105375,9.55673152908722,8.136397412
L03201_at,7.584944374,10.9657729,10.27813771,7.57314400272217,11.04847056,11.9135921801752,10.23922046,11.3152990590789,7.5010688331457,7.45064353727057,8.16272077567142,7.660852685,9.214310801,7.80383964103523,11.0790543642586,11.76707361,10.09612272,11.34767504,12.331351204437,12.07303059
L09120_at,7.876248853,8.828770581,7.985200874,7.78353855013233,8.007406021,10.2579203284441,7.792099061,8.45352783133565,8.29287200483274,8.51392742167991,8.44814929940993,7.904534359,8.112153888,7.99647491477816,8.54356929376219,8.436827364,7.999700747,7.873876544,7.77366987066536,8.437903063
